xpath,endpoint_type,schema_defined_type,container,endpoint
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/EXTENSION,Container,BANKRUPTCY_ACTION_EXTENSION,BANKRUPTCY_ACTION,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/EXTENSION/OTHER,Container,BANKRUPTCY_ACTION_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/EXTENSION,Container,BANKRUPTCY_ACTIONS_EXTENSION,BANKRUPTCY_ACTIONS,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/EXTENSION/OTHER,Container,BANKRUPTCY_ACTIONS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS,Container,BANKRUPTCY_DELAYS,BANKRUPTCY,BANKRUPTCY_DELAYS
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY,Container,BANKRUPTCY_DELAY,BANKRUPTCY_DELAYS,BANKRUPTCY_DELAY
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/BankruptcyDelayCategoryType,Enumeration,BankruptcyDelayCategoryEnum,BANKRUPTCY_DELAY,BankruptcyDelayCategoryType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/BankruptcyDelayCategoryTypeAdditionalDescription,DataPoint,MISMOString,BANKRUPTCY_DELAY,BankruptcyDelayCategoryTypeAdditionalDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/BankruptcyDelayCategoryTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_DELAY,BankruptcyDelayCategoryTypeOtherDescription
